ID,TCN,NAME,ABBR,RACK_ID,city_id
1315,T-36-IL-3304,Citgo,Citgo,75,119
1316,T-36-IL-3300,Valero Refining and Marketing,Valero,75,120
1317,T-36-IL-3305,Kinder Morgan Energy Partners,KMEP,75,121
1318,T-36-IL-3307,Marathon Petroleum Corporation,Marathon,75,117
1319,T-36-IL-3309,Marathon Petroleum Corporation,Marathon,75,122
1322,T-36-IL-3315,Buckeye,Buckeye,75,121
1323,T-36-IL-3316,Buckeye,Buckeye,75,117
1325,T-36-IL-3320,Magellan Pipeline Company,Magellan,75,123
1326,T-37-IL-3365,Buckeye,Buckeye,76,124
1327,T-37-IL-3369,Buckeye,Buckeye,76,125
1330,T-43-IL-3729,Omega Partners lll LLC,Omega,78,126
1331,T-37-IL-3356,Buckeye,Buckeye,78,126
1334,T-37-IL-3362,Petroleum Fuel & Terminal Co.,PF&T Co,78,127
1335,T-37-IL-3366,Phillips 66 Company PSX,PSX,78,128
1336,T-37-IL-3371,Magellan Pipeline Company,Magellan,79,129
1337,T-37-IL-3364,Growmark,Growmark,80,130
1340,T-37-IL-3350,BP Oil Products,BP Oil,82,131
1341,T-37-IL-3352,Equilon,Equilon,82,132
1342,T-37-IL-3355,Hicks,Hicks,82,132
1343,T-37-IL-3367,ARC Terminals Holding LLC,ARC,82,133
1344,T-36-IL-3323,Buckeye,Buckeye,82,133
1345,T-37-IL-3360,Marathon Petroleum Corporation,Marathon,83,134
1348,T-36-IL-3308,Marathon Petroleum Corporation,Marathon,84,135
1349,T-35-IN-3214,CountryMark,CntryMark,85,136
1352,T-35-IN-3207,Marathon Petroleum Corporation,Marathon,85,137
1353,T-35-IN-3220,Marathon Petroleum Corporation,Marathon,85,136
